Name,Phone,Category,Query,Link
YOEEH COFFEE ROASTERY,085161219010,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/YOEEH+COFFEE+ROASTERY/data=!4m7!3m6!1s0x2e69f91b8b00c467:0xa2b6b9575838f7a4!8m2!3d-6.151617!4d106.7023994!16s%2Fg%2F11vyvnyr84!19sChIJZ8QAixv5aS4RpPc4WFe5tqI?authuser=0&hl=id&rclk=1
Joy Listening Space Coffee Tea Smoothie,08170040653,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Joy+Listening+Space+Coffee+Tea+Smoothie/data=!4m7!3m6!1s0x2e6a1d2b86aeecc7:0xd84de0894b875921!8m2!3d-6.1334146!4d106.7343642!16s%2Fg%2F11vjy0znzg!19sChIJx-yuhisdai4RIVmHS4ngTdg?authuser=0&hl=id&rclk=1
Green Fox Kalideres (Coffee•Kitchen•Gelato),082312357324,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Green+Fox+Kalideres+%28Coffee%E2%80%A2Kitchen%E2%80%A2Gelato%29/data=!4m7!3m6!1s0x2e69f9e9c49e907f:0x5bd1f5aa41b6aac0!8m2!3d-6.1439218!4d106.7002699!16s%2Fg%2F11xlzb3xcn!19sChIJf5CexOn5aS4RwKq2Qar10Vs?authuser=0&hl=id&rclk=1
black nektar kedai,081382130075,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/black+nektar+kedai/data=!4m7!3m6!1s0x2e69e9f42bc9f5fb:0xe7527851930fbd61!8m2!3d-6.1249703!4d106.7148408!16s%2Fg%2F11lg3sb_6q!19sChIJ-_XJK_TpaS4RYb0Pk1F4Uuc?authuser=0&hl=id&rclk=1
Kopi Leku Apartemen Sky Terrace,081808192663,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Kopi+Leku+Apartemen+Sky+Terrace/data=!4m7!3m6!1s0x2e69f9d2cd654db5:0x905abf34d8942205!8m2!3d-6.1514296!4d106.7131055!16s%2Fg%2F11nwx88k06!19sChIJtU1lzdL5aS4RBSKU2DS_WpA?authuser=0&hl=id&rclk=1
COLUMN; Rooftop Cafe,081292609364,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/COLUMN;+Rooftop+Cafe/data=!4m7!3m6!1s0x2e69f7172ad964d1:0x11b299fd8d6cd312!8m2!3d-6.1418601!4d106.7382716!16s%2Fg%2F11rd023ss4!19sChIJ0WTZKhf3aS4REtNsjf2ZshE?authuser=0&hl=id&rclk=1
Warmindo Nongkrong Wareg (NW),081213800908,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Warmindo+Nongkrong+Wareg+%28NW%29/data=!4m7!3m6!1s0x2e69f9013bf6a061:0xde8a3d75b9b85695!8m2!3d-6.1502331!4d106.702267!16s%2Fg%2F11sffpztg8!19sChIJYaD2OwH5aS4RlVa4uXU9it4?authuser=0&hl=id&rclk=1
Cafe Siang Malam 7 (24JAM),085710504497,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Cafe+Siang+Malam+7+%2824JAM%29/data=!4m7!3m6!1s0x2e69f7dbb72fb101:0xe1155268550bcf94!8m2!3d-6.1705877!4d106.7852693!16s%2Fg%2F11fcqt15nv!19sChIJAbEvt9v3aS4RlM8LVWhSFeE?authuser=0&hl=id&rclk=1
Pros coffe,081334885203,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Pros+coffe/data=!4m7!3m6!1s0x2e69f91b08ccec3f:0xd120e9a496ca45ca!8m2!3d-6.1469178!4d106.7007097!16s%2Fg%2F11fscv6dms!19sChIJP-zMCBv5aS4RykXKlqTpINE?authuser=0&hl=id&rclk=1
Kungfu Ice Cream,081257222218,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Kungfu+Ice+Cream/data=!4m7!3m6!1s0x2e6a03f3bbad676d:0x5b16d063f82005fb!8m2!3d-6.129821!4d106.7100363!16s%2Fg%2F11j7_dd06y!19sChIJbWetu_MDai4R-wUg-GPQFls?authuser=0&hl=id&rclk=1
Reset Coffee - Green Garden,087821879887,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Reset+Coffee+-+Green+Garden/data=!4m7!3m6!1s0x2e69f70005432f0b:0xefbbf24b4b2c5d83!8m2!3d-6.1656713!4d106.7622002!16s%2Fg%2F11wtf03r5c!19sChIJCy9DBQD3aS4Rg10sS0vyu-8?authuser=0&hl=id&rclk=1
Cofee & cho,081210460963,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Cofee+%26+cho/data=!4m7!3m6!1s0x2e69f90f3f71634d:0x2515762da0885192!8m2!3d-6.1505974!4d106.6996148!16s%2Fg%2F11txjllxys!19sChIJTWNxPw_5aS4RklGIoC12FSU?authuser=0&hl=id&rclk=1
Warteg 2 Nur,087787108283,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Warteg+2+Nur/data=!4m7!3m6!1s0x2e6a02b197b7fdab:0xe8aa8cd3d6ef968!8m2!3d-6.1270432!4d106.7162963!16s%2Fg%2F11c5z_d6qq!19sChIJq_23l7ECai4RaPluPc2oig4?authuser=0&hl=id&rclk=1
KFC Citra Garden 6,08117157069,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/KFC+Citra+Garden+6/data=!4m7!3m6!1s0x2e6a02b1d674d8e3:0x442232459be0d447!8m2!3d-6.128805!4d106.7150082!16s%2Fg%2F11c52nt102!19sChIJ49h01rECai4RR9Tgm0UyIkQ?authuser=0&hl=id&rclk=1
Sudutsatu Cafe,085893421421,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Sudutsatu+Cafe/data=!4m7!3m6!1s0x2e69f78ae551410d:0xd3fad0998fb0d745!8m2!3d-6.1739487!4d106.7801371!16s%2Fg%2F11h1zf58pz!19sChIJDUFR5Yr3aS4RRdewj5nQ-tM?authuser=0&hl=id&rclk=1
Tanatap Coffee Meruya,081292632172,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Tanatap+Coffee+Meruya/data=!4m7!3m6!1s0x2e69f73c541709a1:0xb796929928581e6b!8m2!3d-6.1991305!4d106.727403!16s%2Fg%2F11qrkhy733!19sChIJoQkXVDz3aS4Rax5YKJmSlrc?authuser=0&hl=id&rclk=1
Temanta Meruya,085175122087,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Temanta+Meruya/data=!4m7!3m6!1s0x2e69f7a6fa4727f9:0xff789bd62fb3dc67!8m2!3d-6.1973798!4d106.7251706!16s%2Fg%2F11kqhv6qmq!19sChIJ-SdH-qb3aS4RZ9yzL9abeP8?authuser=0&hl=id&rclk=1
Cafe Ca Ma Cam,08561011888,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Cafe+Ca+Ma+Cam/data=!4m7!3m6!1s0x2e6a03c0c9b309bf:0x31074d9e3bbabff1!8m2!3d-6.1229669!4d106.7101631!16s%2Fg%2F11qm638wn1!19sChIJvwmzycADai4R8b-6O55NBzE?authuser=0&hl=id&rclk=1
Kopi Kontrakan,087884686482,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Kopi+Kontrakan/data=!4m7!3m6!1s0x2e6a1d597722eb47:0xb69edfa835135c45!8m2!3d-6.1485106!4d106.7478513!16s%2Fg%2F11f380vd6j!19sChIJR-sid1kdai4RRVwTNajfnrY?authuser=0&hl=id&rclk=1
Tongkrongan Kopaja,0895333978465,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Tongkrongan+Kopaja/data=!4m7!3m6!1s0x2e6a038b31745853:0x5220a570afc2f013!8m2!3d-6.1109452!4d106.7034392!16s%2Fg%2F11h337wgxy!19sChIJU1h0MYsDai4RE_DCr3ClIFI?authuser=0&hl=id&rclk=1
Caffeine Suite,08118888051,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Caffeine+Suite/data=!4m7!3m6!1s0x2e69f7d7cf5b8e0d:0xfbf5cb76f03b7dee!8m2!3d-6.1773852!4d106.7715549!16s%2Fg%2F11hyt6873x!19sChIJDY5bz9f3aS4R7n078HbL9fs?authuser=0&hl=id&rclk=1
Kopi Tetangga Sebelah,087832598880,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Kopi+Tetangga+Sebelah/data=!4m7!3m6!1s0x2e69f7ec2e481a63:0x26806f8d2637933c!8m2!3d-6.1636189!4d106.7712165!16s%2Fg%2F11mk6lkqcs!19sChIJYxpILuz3aS4RPJM3Jo1vgCY?authuser=0&hl=id&rclk=1
ECO 8,081310008829,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/ECO+8/data=!4m7!3m6!1s0x2e69f78e95ed365f:0x18e9640ab3c70790!8m2!3d-6.1916069!4d106.7533021!16s%2Fg%2F11vjywwjtz!19sChIJXzbtlY73aS4RkAfHswpk6Rg?authuser=0&hl=id&rclk=1
IGOR CITRA 6,081388108077,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/IGOR+CITRA+6/data=!4m7!3m6!1s0x2e6a0391bd2c3a07:0x3139a0db2c98d6!8m2!3d-6.1268835!4d106.7131159!16s%2Fg%2F11zkd1267p!19sChIJBzosvZEDai4R1pgs26A5MQA?authuser=0&hl=id&rclk=1
Waroenk Kito Taman Palem Lestari,085107777641,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Waroenk+Kito+Taman+Palem+Lestari/data=!4m7!3m6!1s0x2e6a02ab040dbebd:0x23c1e24b5bbcfe73!8m2!3d-6.1333924!4d106.7184033!16s%2Fg%2F11c6z_kfsm!19sChIJvb4NBKsCai4Rc_68W0viwSM?authuser=0&hl=id&rclk=1
Genki Sushi Citra 6,081283847410,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Genki+Sushi+Citra+6/data=!4m7!3m6!1s0x2e6a03ea3d65b9b5:0xec778daf634e948b!8m2!3d-6.1282893!4d106.7145174!16s%2Fg%2F11ptlx6v9t!19sChIJtbllPeoDai4Ri5ROY6-Nd-w?authuser=0&hl=id&rclk=1
Seafood 52,081282085252,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Seafood+52/data=!4m7!3m6!1s0x2e6a02aad659213b:0x816c5ca678b4dcb9!8m2!3d-6.1309147!4d106.7163269!16s%2Fg%2F11c3tx19k6!19sChIJOyFZ1qoCai4Rudy0eKZcbIE?authuser=0&hl=id&rclk=1
SEMATJAM di Citra 6,085721555501,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/SEMATJAM+di+Citra+6/data=!4m7!3m6!1s0x2e6a02b9f59d930d:0xc0bdbb5157b11131!8m2!3d-6.1233441!4d106.7099119!16s%2Fg%2F11bw5ytwpp!19sChIJDZOd9bkCai4RMRGxV1G7vcA?authuser=0&hl=id&rclk=1
Saung bambu cafe and resto,081318237502,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Saung+bambu+cafe+and+resto/data=!4m7!3m6!1s0x2e6a03e91ebf4303:0xc9862302beef09b2!8m2!3d-6.1222598!4d106.6971139!16s%2Fg%2F11sv3glljd!19sChIJA0O_HukDai4RsgnvvgIjhsk?authuser=0&hl=id&rclk=1
Pesta Rasa Nusantara - Taman Palem,081210169150,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Pesta+Rasa+Nusantara+-+Taman+Palem/data=!4m7!3m6!1s0x2e6a03a8f3775601:0xfa02dde0cf03cb58!8m2!3d-6.1300807!4d106.7156319!16s%2Fg%2F11xl_bfk0r!19sChIJAVZ386gDai4RWMsDz-DdAvo?authuser=0&hl=id&rclk=1
Masakan Khas Medan Aphin 88,085105180075,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Masakan+Khas+Medan+Aphin+88/data=!4m7!3m6!1s0x2e6a02a5a50ea659:0x72d84b3610538ac7!8m2!3d-6.1320783!4d106.7100047!16s%2Fg%2F11cn96w_xq!19sChIJWaYOpaUCai4Rx4pTEDZL2HI?authuser=0&hl=id&rclk=1
Pondok sambal djudez,081585022292,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Pondok+sambal+djudez/data=!4m7!3m6!1s0x2e6a03570b3c84fd:0x31dabbc0927d3bc1!8m2!3d-6.1371902!4d106.7123492!16s%2Fg%2F11sbq_0b75!19sChIJ_YQ8C1cDai4RwTt9ksC72jE?authuser=0&hl=id&rclk=1
Lesehan Kehed,081285981901,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Lesehan+Kehed/data=!4m7!3m6!1s0x2e69f805117aaa27:0x2c5bab230921abc9!8m2!3d-6.1476874!4d106.713529!16s%2Fg%2F11g6nj8f5n!19sChIJJ6p6EQX4aS4RyashCSOrWyw?authuser=0&hl=id&rclk=1
BAKMIE SENCINPING,081998874434,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/BAKMIE+SENCINPING/data=!4m7!3m6!1s0x2e69f7884efb869f:0x39a43bae55201cf2!8m2!3d-6.1228871!4d106.7070062!16s%2Fg%2F11l2x6gnm9!19sChIJn4b7Toj3aS4R8hwgVa47pDk?authuser=0&hl=id&rclk=1
Restoran Ikan chiyuba Taman Palem Lestari,085283256718,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Restoran+Ikan+chiyuba+Taman+Palem+Lestari/data=!4m7!3m6!1s0x2e6a03d606a23377:0x1e1fdad8a0c81c78!8m2!3d-6.138778!4d106.7234046!16s%2Fg%2F11lmhgm2gh!19sChIJdzOiBtYDai4ReBzIoNjaHx4?authuser=0&hl=id&rclk=1
Ameng 'Medan Rasa' Chinese Food,081218662115,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Ameng+%27Medan+Rasa%27+Chinese+Food/data=!4m7!3m6!1s0x2e6a02ae3919abc5:0xf3d2b6114d2b620e!8m2!3d-6.1302344!4d106.7162924!16s%2Fg%2F11f00j521b!19sChIJxasZOa4Cai4RDmIrTRG20vM?authuser=0&hl=id&rclk=1
"Totlah, Taman Palem Lestari",081399230069,restaurant,restaurant in Jakarta Barat,"https://www.google.com/maps/place/Totlah,+Taman+Palem+Lestari/data=!4m7!3m6!1s0x2e6a033bbb93d0c7:0x8625206bfbb307f6!8m2!3d-6.1264429!4d106.7060498!16s%2Fg%2F11np35yhxt!19sChIJx9CTuzsDai4R9gez-2sgJYY?authuser=0&hl=id&rclk=1"
Saung Kita Daan Mogot,081298800513,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Saung+Kita+Daan+Mogot/data=!4m7!3m6!1s0x2e69f8052bd0df23:0x566c9e9c6bcfd785!8m2!3d-6.1490499!4d106.7144433!16s%2Fg%2F11f15l_wlb!19sChIJI9_QKwX4aS4RhdfPa5yebFY?authuser=0&hl=id&rclk=1
KFC Citra Garden 6,08117157069,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/KFC+Citra+Garden+6/data=!4m7!3m6!1s0x2e6a02b1d674d8e3:0x442232459be0d447!8m2!3d-6.128805!4d106.7150082!16s%2Fg%2F11c52nt102!19sChIJ49h01rECai4RR9Tgm0UyIkQ?authuser=0&hl=id&rclk=1
Eka Rasa,089636754157,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Eka+Rasa/data=!4m7!3m6!1s0x2e69f9a282d5a6f9:0xab8aba7b61466d1d!8m2!3d-6.1334587!4d106.6972125!16s%2Fg%2F11j3vtpnsf!19sChIJ-abVgqL5aS4RHW1GYXu6iqs?authuser=0&hl=id&rclk=1
Renash Japanese Food,081314244810,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Renash+Japanese+Food/data=!4m7!3m6!1s0x2e69f80eb1595da1:0xbcefab1ade58321c!8m2!3d-6.1448247!4d106.7069475!16s%2Fg%2F11c484n5qy!19sChIJoV1ZsQ74aS4RHDJY3hqr77w?authuser=0&hl=id&rclk=1
Kampung Kecil Kedoya Puri Kembangan,0817118003,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Kampung+Kecil+Kedoya+Puri+Kembangan/data=!4m7!3m6!1s0x2e69f74fe0a2797d:0x9333462a59376d4f!8m2!3d-6.1804914!4d106.7570235!16s%2Fg%2F11nt88ksc2!19sChIJfXmi4E_3aS4RT203WSpGM5M?authuser=0&hl=id&rclk=1
Nagabi Resto,082116171818,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Nagabi+Resto/data=!4m7!3m6!1s0x2e6a038ba7ded7eb:0x9c83bd03a8360995!8m2!3d-6.1234532!4d106.6942976!16s%2Fg%2F11stpdxn3y!19sChIJ69fep4sDai4RlQk2qAO9g5w?authuser=0&hl=id&rclk=1
Lok-Lok Sultan,087884807555,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Lok-Lok+Sultan/data=!4m7!3m6!1s0x2e6a032f2f85727b:0x4c12fea3684e94be!8m2!3d-6.1301748!4d106.7162714!16s%2Fg%2F11q1lk3k40!19sChIJe3KFLy8Dai4RvpROaKP-Ekw?authuser=0&hl=id&rclk=1
Njonja Heritage,08568867899,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Njonja+Heritage/data=!4m7!3m6!1s0x2e6a038f3c041a39:0xda5caa6159e7aa69!8m2!3d-6.1246771!4d106.6919693!16s%2Fg%2F11xmy09lrd!19sChIJORoEPI8Dai4RaarnWWGqXNo?authuser=0&hl=id&rclk=1
Cabe Bawang Citra 8,085892809197,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Cabe+Bawang+Citra+8/data=!4m7!3m6!1s0x2e6a03002ad51361:0x513a7139651f7480!8m2!3d-6.1233431!4d106.6942383!16s%2Fg%2F11y3svxclx!19sChIJYRPVKgADai4RgHQfZTlxOlE?authuser=0&hl=id&rclk=1
Tom Yam Sapo 37,081281846010,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Tom+Yam+Sapo+37/data=!4m7!3m6!1s0x2e69f813aaaaaa9d:0xecc97e94096252d3!8m2!3d-6.1432899!4d106.7068286!16s%2Fg%2F11ckw2985m!19sChIJnaqqqhP4aS4R01JiCZR-yew?authuser=0&hl=id&rclk=1
Warung Mutia,081384802025,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Warung+Mutia/data=!4m7!3m6!1s0x2e69f9270b38701d:0xae45c6d68b7cafdd!8m2!3d-6.1403551!4d106.7131887!16s%2Fg%2F11smclmq0v!19sChIJHXA4Cyf5aS4R3a98i9bGRa4?authuser=0&hl=id&rclk=1
Waroeng Pa Mo,082125109277,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Waroeng+Pa+Mo/data=!4m7!3m6!1s0x2e6a03ebd4bb244d:0x61b28d6edd7da13d!8m2!3d-6.1375152!4d106.7267252!16s%2Fg%2F11gnplghg7!19sChIJTSS71OsDai4RPaF93W6NsmE?authuser=0&hl=id&rclk=1
Rumah Makan MasMurni,081317975928,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Rumah+Makan+MasMurni/data=!4m7!3m6!1s0x2e69f8701e6d4651:0x853895d811116eb5!8m2!3d-6.1496026!4d106.6890673!16s%2Fg%2F11dyp03_d9!19sChIJUUZtHnD4aS4RtW4REdiVOIU?authuser=0&hl=id&rclk=1
Dapur Betawi JKT,08881606236,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Dapur+Betawi+JKT/data=!4m7!3m6!1s0x2e69f9d8cc2dec8d:0xa79dc87634d10eef!8m2!3d-6.1467385!4d106.7091099!16s%2Fg%2F11j7qb4jrr!19sChIJjewtzNj5aS4R7w7RNHbInac?authuser=0&hl=id&rclk=1
Food Court Green Kitchen,08121311899,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Food+Court+Green+Kitchen/data=!4m7!3m6!1s0x2e69f81aa67ed6e9:0x47ab28544ff8361e!8m2!3d-6.1503587!4d106.7118092!16s%2Fg%2F11c52_wp6m!19sChIJ6dZ-phr4aS4RHjb4T1Qoq0c?authuser=0&hl=id&rclk=1
Rumah Makan Lesehan Berkah Jaya Lele Terbang,087885318540,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Rumah+Makan+Lesehan+Berkah+Jaya+Lele+Terbang/data=!4m7!3m6!1s0x2e6a03ee952c6c65:0x717cca308d7ef72!8m2!3d-6.1070217!4d106.7018773!16s%2Fg%2F11jfbfllfl!19sChIJZWwsle4Dai4Rcu_XCKPMFwc?authuser=0&hl=id&rclk=1
Saung Greenville,08119333233,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Saung+Greenville/data=!4m7!3m6!1s0x2e69f656d1e8baaf:0xad7d0f25750c8acd!8m2!3d-6.1694564!4d106.7700787!16s%2Fg%2F1tgm08qr!19sChIJr7ro0Vb2aS4RzYoMdSUPfa0?authuser=0&hl=id&rclk=1
Saoenk Kito Susilo,085107171790,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Saoenk+Kito+Susilo/data=!4m7!3m6!1s0x2e69f64287c8599d:0x2b605167fe501107!8m2!3d-6.1656539!4d106.7932107!16s%2Fg%2F11bw46bftz!19sChIJnVnIh0L2aS4RBxFQ_mdRYCs?authuser=0&hl=id&rclk=1
Grand Marco Seafood,085172131878,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Grand+Marco+Seafood/data=!4m7!3m6!1s0x2e69f652f4c3765d:0x2d29f5a333222348!8m2!3d-6.169176!4d106.773426!16s%2Fg%2F11c5rpxm4x!19sChIJXXbD9FL2aS4RSCMiM6P1KS0?authuser=0&hl=id&rclk=1
Little Red Dot - Central Park,085282141202,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Little+Red+Dot+-+Central+Park/data=!4m7!3m6!1s0x2e69f75488f5ad59:0x2dd3b806df957c7a!8m2!3d-6.1773481!4d106.7915445!16s%2Fg%2F11w3f3627h!19sChIJWa31iFT3aS4RenyV3wa40y0?authuser=0&hl=id&rclk=1
Sushi Yay! - Green Garden,085183133472,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Sushi+Yay!+-+Green+Garden/data=!4m7!3m6!1s0x2e69f719590882b3:0xdf90da993a8a757b!8m2!3d-6.1666216!4d106.7630119!16s%2Fg%2F11wfgrqwj0!19sChIJs4IIWRn3aS4Re3WKOpnakN8?authuser=0&hl=id&rclk=1
Cafe Ca Ma Cam,08561011888,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Cafe+Ca+Ma+Cam/data=!4m7!3m6!1s0x2e6a03c0c9b309bf:0x31074d9e3bbabff1!8m2!3d-6.1229669!4d106.7101631!16s%2Fg%2F11qm638wn1!19sChIJvwmzycADai4R8b-6O55NBzE?authuser=0&hl=id&rclk=1
Warteg sari asih,087768887667,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Warteg+sari+asih/data=!4m7!3m6!1s0x2e69f7b18b792ce3:0xd4bb546ca1dfa556!8m2!3d-6.167218!4d106.7643284!16s%2Fg%2F11cn6d_5p6!19sChIJ4yx5i7H3aS4RVqXfoWxUu9Q?authuser=0&hl=id&rclk=1
BALLEBAT,081370723780,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/BALLEBAT/data=!4m7!3m6!1s0x2e6a03140bca919d:0x87abb71ec7b5a649!8m2!3d-6.1333324!4d106.7126364!16s%2Fg%2F11j_sjtqhb!19sChIJnZHKCxQDai4RSaa1xx63q4c?authuser=0&hl=id&rclk=1
Mangiamoo Bistro & Gelato,08119563588,restaurant,restaurant in Jakarta Barat,https://www.google.com/maps/place/Mangiamoo+Bistro+%26+Gelato/data=!4m7!3m6!1s0x2e69f79a6a5c2fcb:0x9c6aca8c84bfa297!8m2!3d-6.1910412!4d106.7681326!16s%2Fg%2F11m2_3zkdb!19sChIJyy9capr3aS4Rl6K_hIzKapw?authuser=0&hl=id&rclk=1
